Time : 2022-03-15 09:25:19, Label : 2, Word : CLICK, Percentage = 100.00%, RunTime : 0.1051sec
Time : 2022-03-15 09:25:23, Label : 2, Word : CLICK, Percentage = 99.91%, RunTime : 0.0881sec
Time : 2022-03-15 09:25:48, Label : 1, Word : CHOICE, Percentage = 100.00%, RunTime : 0.1086sec
Time : 2022-03-15 09:25:51, Label : 2, Word : CLICK, Percentage = 100.00%, RunTime : 0.1812sec
Time : 2022-03-15 09:25:55, Label : 3, Word : CLOSE, Percentage = 100.00%, RunTime : 0.1124sec
Time : 2022-03-15 09:25:59, Label : 4, Word : HOME, Percentage = 100.00%, RunTime : 0.1260sec
Time : 2022-03-15 09:26:05, Label : 5, Word : END, Percentage = 100.00%, RunTime : 0.1028sec
Time : 2022-03-15 09:26:09, Label : 6, Word : DARKEN, Percentage = 100.00%, RunTime : 0.1394sec
Time : 2022-03-15 09:26:13, Label : 7, Word : BRIGHTEN, Percentage = 100.00%, RunTime : 0.1344sec
Time : 2022-03-15 09:26:16, Label : 13, Word : UP, Percentage = 100.00%, RunTime : 0.0910sec
Time : 2022-03-15 09:26:21, Label : 13, Word : UP, Percentage = 100.00%, RunTime : 0.1090sec
Time : 2022-03-15 09:26:25, Label : 13, Word : UP, Percentage = 100.00%, RunTime : 0.1074sec
Time : 2022-03-15 09:28:08, Label : 0, Word : NONE, Percentage = 50.54%, RunTime : 0.1445sec
Time : 2022-03-15 09:28:13, Label : 12, Word : DOWN, Percentage = 100.00%, RunTime : 0.1057sec
Time : 2022-03-15 09:28:17, Label : 13, Word : UP, Percentage = 100.00%, RunTime : 0.0888sec
Time : 2022-03-15 09:28:20, Label : 13, Word : UP, Percentage = 100.00%, RunTime : 0.1170sec
Time : 2022-03-15 09:28:24, Label : 0, Word : NONE, Percentage = 99.80%, RunTime : 0.0726sec
Time : 2022-03-15 09:28:31, Label : 2, Word : CLICK, Percentage = 84.98%, RunTime : 0.1022sec
Time : 2022-03-15 09:28:37, Label : 13, Word : UP, Percentage = 98.17%, RunTime : 0.0941sec
Time : 2022-03-15 09:28:42, Label : 2, Word : CLICK, Percentage = 100.00%, RunTime : 0.1103sec
Time : 2022-03-15 09:28:47, Label : 8, Word : VOICE_COMMANDS, Percentage = 98.53%, RunTime : 0.1081sec
Time : 2022-03-15 09:28:50, Label : 0, Word : NONE, Percentage = 99.87%, RunTime : 0.0833sec
Time : 2022-03-15 09:28:55, Label : 2, Word : CLICK, Percentage = 100.00%, RunTime : 0.1194sec
Time : 2022-03-15 09:29:41, Label : 8, Word : VOICE_COMMANDS, Percentage = 100.00%, RunTime : 0.1665sec
Time : 2022-03-15 09:29:47, Label : 8, Word : VOICE_COMMANDS, Percentage = 99.95%, RunTime : 0.1003sec
Time : 2022-03-15 09:29:54, Label : 8, Word : VOICE_COMMANDS, Percentage = 100.00%, RunTime : 0.2047sec
Time : 2022-03-15 09:29:59, Label : 0, Word : NONE, Percentage = 94.24%, RunTime : 0.1135sec
Time : 2022-03-15 09:30:04, Label : 1, Word : CHOICE, Percentage = 100.00%, RunTime : 0.1185sec
Time : 2022-03-15 09:30:08, Label : 0, Word : NONE, Percentage = 99.80%, RunTime : 0.0995sec
Time : 2022-03-15 09:30:11, Label : 0, Word : NONE, Percentage = 98.78%, RunTime : 0.0948sec
Time : 2022-03-15 09:30:15, Label : 13, Word : UP, Percentage = 99.78%, RunTime : 0.1089sec
Time : 2022-03-15 09:30:20, Label : 0, Word : NONE, Percentage = 99.86%, RunTime : 0.1452sec
Time : 2022-03-15 09:31:07, Label : 0, Word : NONE, Percentage = 99.99%, RunTime : 0.1169sec
Time : 2022-03-15 09:32:10, Label : 0, Word : NONE, Percentage = 98.35%, RunTime : 0.1052sec
Time : 2022-03-15 09:32:38, Label : 21, Word : VOLUME_UP, Percentage = 91.35%, RunTime : 0.0900sec
Time : 2022-03-15 09:46:19, Label : 0, Word : NONE, Percentage = 99.13%, RunTime : 0.1371sec
Time : 2022-03-15 16:57:28, Label : 2, Word : CLICK, Percentage = 100.00%, RunTime : 0.1057sec
Time : 2022-03-15 16:58:20, Label : 7, Word : BRIGHTEN, Percentage = 55.80%, RunTime : 0.1070sec
Time : 2022-03-15 16:59:18, Label : 2, Word : CLICK, Percentage = 100.00%, RunTime : 0.1270sec
Time : 2022-03-15 16:59:24, Label : 1, Word : CHOICE, Percentage = 90.28%, RunTime : 0.1533sec
Time : 2022-03-15 16:59:30, Label : 3, Word : CLOSE, Percentage = 94.95%, RunTime : 0.1577sec
Time : 2022-03-15 17:00:59, Label : 0, Word : NONE, Percentage = 100.00%, RunTime : 0.1074sec
Time : 2022-03-15 17:01:05, Label : 4, Word : HOME, Percentage = 100.00%, RunTime : 0.1082sec
Time : 2022-03-15 17:01:10, Label : 31, Word : REJECT, Percentage = 86.64%, RunTime : 0.1122sec
Time : 2022-03-15 17:01:15, Label : 8, Word : VOICE_COMMANDS, Percentage = 100.00%, RunTime : 0.1546sec
Time : 2022-03-15 17:01:24, Label : 1, Word : CHOICE, Percentage = 100.00%, RunTime : 0.1337sec
Time : 2022-03-15 17:01:29, Label : 2, Word : CLICK, Percentage = 99.70%, RunTime : 0.1096sec
Time : 2022-03-15 17:01:34, Label : 3, Word : CLOSE, Percentage = 100.00%, RunTime : 0.1187sec
Time : 2022-03-15 17:01:39, Label : 0, Word : NONE, Percentage = 99.55%, RunTime : 0.0710sec
